IDs	SMILES
CDK_Depict_1_36	CC(C)(C)S/C(=C(\Cl)/Br)/Cl
CDK_Depict_1_37	C[C@@H]1CCC[C@H](C1C)C
CDK_Depict_1_39	CCO[C@@H]1C[C@H]2[C@H]3CC[C@H](C3)[C@H]2CO1
CDK_Depict_1_40	CCCCOC(=O)[C@@H]([C@H](C(=O)OCCCC)O)O
CDK_Depict_1_41	CC(C)(C#N)N=S(C1=CC=C(C=C1)Cl)Cl
CDK_Depict_1_42	CP(C)P(=O)(C)C
CDK_Depict_1_43	[B](C(C)O)C(OCC)OCC
CDK_Depict_1_44	CCC(=O)C[C@H](C)C(C)C
CDK_Depict_1_45	[C@H]([C@@H]([C@@H](C(=O)O)O)O)([C@H](C(=O)O)O)O
CDK_Depict_1_46	C([C@@H]([C@H](C(=O)CO)O)O)O
CDK_Depict_1_47	CO[C@H]1C[C@H]2[C@H]3CC[C@H](C3)[C@H]2CO1
CDK_Depict_1_48	C1CN[C@@H]1C(=O)O
CDK_Depict_1_49	C1=CN=C(N=C1)P(=O)(O)O
CDK_Depict_1_50	C[C@@H]([C@@H](CC1=CC=CC=C1)Br)O
CDK_Depict_1_51	C1(=O)N=NC(=O)S1
CDK_Depict_1_53	C=CN1C=CN=N1
CDK_Depict_1_54	C[C@@]12CC[C@@H]3[C@@](C1)(CC[C@H]2Br)[C@H](CC3(C)C)OC
CDK_Depict_1_55	C[C@@H]1CC[C@@]2([C@@H]3[C@@H]1CC[C@@]2(CC3(C)C)C)O
CDK_Depict_1_56	CC1(CON(O1)C(=O)N(C)C)C
CDK_Depict_1_57	C[C@@]1(CCC2C1(CCC3C2CCC4=C3CCC(=O)C4)C)O
CDK_Depict_1_58	C(=N\OP(=O)(O)O)(\N)/OP(=O)(O)OP(=O)(O)O
CDK_Depict_1_60	C(=NP(=S)(N=C=S)N=C=S)=S
CDK_Depict_1_61	CN(C)C(=O)SSC(=O)N(C)C
CDK_Depict_1_62	C1[C@@H]([C@H](O[C@H]1N2C=C(C(=O)NC2=O)C(F)(F)F)CO)O
CDK_Depict_1_63	C1=C(C=NN1C(=O)NC(=O)CCl)Br
CDK_Depict_1_65	CC(C1=PC=PC=P1)O
CDK_Depict_1_66	CC(C)N(C(=O)F)SN(C(C)C)C(=O)F
CDK_Depict_1_67	CCOC(=O)[C@H](CC(=O)C1=CC=CC=C1)N[C@@H](C)C(=O)OC
CDK_Depict_1_68	CC(C)[C@H]1CC[C@@]2([C@@H]3[C@H]1[C@H](C24CO4)[C@@H]([C@@H]3O)O)C
CDK_Depict_1_70	COC(=O)[C@H](CC1=CC(=C(C=C1)O)O)N
CDK_Depict_1_71	CC1=C(C1=O)C
CDK_Depict_1_72	C(OSC(=O)SO)F
CDK_Depict_1_73	CCP1C(=C)[P-]P(C(=C)[P-]1)CC
CDK_Depict_1_74	CN(C)P(=NC(=O)C(Br)(Br)Br)(N(C)C)N(C)C
CDK_Depict_1_75	COC(=O)/C(=N\Cl)/N(Cl)Cl
CDK_Depict_1_76	C(=O)=S(F)P(P)PP
CDK_Depict_1_78	CC1(COCN1SSN2COCC2(C)C)C
CDK_Depict_1_79	C1=C(SSSSS1)N
CDK_Depict_1_80	[2H]C([2H])([2H])OCOC
CDK_Depict_1_81	CCN1C(C(SCC1=O)Cl)Cl
CDK_Depict_1_82	C1=C2C(=CC(=NC#N)S2)SC1=NC#N
CDK_Depict_1_83	C(=N/OBr)\Cl
CDK_Depict_1_84	C1C(=NNC(=O)N)CSS1
CDK_Depict_1_85	CC12CC[C@H]3C([C@@H]1CC[C@H]2O)CCC4=C3C=CC(=C4)O
CDK_Depict_1_87	[2H]C([2H])([2H])C(C(=O)O)(C([2H])([2H])Cl)O
CDK_Depict_1_88	[2H]/C(=C(\C)/O)/C(=O)C
CDK_Depict_1_89	[SiH]#[Zr]
CDK_Depict_1_90	CC1=CCC(C[C@@H]1O)C(C)(C)O
CDK_Depict_2_1	CCOC(C)(OCC)OP(=O)(CC)CF
CDK_Depict_2_2	C[C@]12CCC(=O)C[C@@H]1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CC[C@@H]4O)C
CDK_Depict_2_3	C1=NNC2=C1SSSSS2
CDK_Depict_2_4	CC(=O)O[C@H]1CCCN2[C@@H]1C3=C(CC2)C4=CC=CC=C4N3
CDK_Depict_2_5	CCC/C=C(/SCC#C)\SOS(=O)Cl
CDK_Depict_2_6	C(F)(F)(S(=O)S(=O)C(F)(F)Br)Cl
CDK_Depict_2_7	O=[Sn]1O[Sn]2(O1)O[Sn](=O)O2
CDK_Depict_2_8	CC(C)[C@@H]1C[C@@H]([C@]2(CCCC(=C)[C@@H]2[C@H]1O)C)O
CDK_Depict_2_9	C1([Si]2=[Si]1C2(F)F)(F)F
CDK_Depict_2_10	C/C=C(\C)/C/C(=N\Cl)/OC
CDK_Depict_2_11	C(C(N)P(=O)(O)O)S(=O)(=O)O
CDK_Depict_2_12	COS(#N)=P[P+]#P
CDK_Depict_2_13	CP(=S)(CC1=CC=CC=C1)P(=S)(C)CC2=CC=CC=C2
CDK_Depict_2_14	CC1([C@@H]([C@H](CN1C)C(=O)OC)C(=O)OC)C(=O)OC
CDK_Depict_2_15	C[C@H]1C[C@H]2CC3=CC=CC=C3N2N1
CDK_Depict_2_16	C[S-](#C)OOOOO
CDK_Depict_2_17	C[C@]12CC[C@H](C1(C)C)C[C@@H]2S(=O)C(=C)C3=CCCCC3
CDK_Depict_2_18	CC1=C(CCO1)OC(=O)Cl
CDK_Depict_2_19	CC(C)(C)OC(=O)N[C@H]1CC[C@@H](C1)O
CDK_Depict_2_20	C=P(C1CC1)(C2CC2)C3=CC=CC=C3
CDK_Depict_2_21	O=S(I(Cl)Br)I(Cl)Br
CDK_Depict_2_22	C(N(COS(=O)(=O)O)COS(=O)(=O)O)OS(=O)(=O)O
CDK_Depict_2_23	[C@H]1([C@@H]2[C@@H](C(C(=O)O2)O)O[C@H]1O)O
CDK_Depict_2_24	CN(C(=C(C#N)C#N)C#N)OC
CDK_Depict_2_25	N1NP2NNP1NN2
CDK_Depict_2_26	CNC(=O)ON=C1[C@H](C2C[C@@H](C1C2)C#N)Cl
CDK_Depict_2_27	CCOP(N1CCOC1=O)OCC
CDK_Depict_2_28	C1[C@@H](O[C@@H](C1O)CO)N2C=C(C(=NC2=O)N)Br
CDK_Depict_2_29	[B][B]B(B([B])[B])C(=C(B([B])B([B])[B])C)C
CDK_Depict_2_30	C1C2CN3C(CN=N3)CN2N=N1
CDK_Depict_2_31	C1(=S)S[Bi](S1)SC(=S)S[Bi]2SC(=S)S2
CDK_Depict_2_32	P1P(PSP1S)S
CDK_Depict_2_33	C1CC(=[Hf](Cl)Cl)C1
CDK_Depict_2_34	[PH2+](S)[S-]
CDK_Depict_2_35	CC1=C2C(=O)[C@@H](CC[C@@]2(CCC1=O)C)C(=C)C
CDK_Depict_2_36	C(NC1=NON=C1N)NC2=NON=C2N
CDK_Depict_2_37	C1(=NN=C([Se]1)[SeH])[SeH]
CDK_Depict_2_38	B(C#C)(C#C)N(C)C
CDK_Depict_2_39	C(#N)N=C([Se][K])[Se][K]
CDK_Depict_2_40	C[C@H]([C@@H](C=C)OO)C(=O)OC(C)C
CDK_Depict_2_41	N1=S(N=S(N=S1Cl)Cl)Cl
CDK_Depict_2_42	CS[C@H]1C(=O)N([C@]12CCCCC2=O)CC3=CC=CC=C3
CDK_Depict_2_43	[H][C@@]([2H])(CCCC)[C@@]([H])([2H])CI
CDK_Depict_2_44	C[C@H]([C@H](C1=CC=CC=C1)O)N
CDK_Depict_2_45	CC(C)(C)OC(=O)N[C@H]1CC[C@H](C1)O
CDK_Depict_2_46	CP(=S)(F)Cl
CDK_Depict_2_47	C1(=O)C(=O)N1Cl
CDK_Depict_2_48	C1CCC2(CC1)[C@H]3CC=CC[C@H]3C(=O)O2
CDK_Depict_2_49	C[C@@H]1CCC[C@H](C1)C
CDK_Depict_2_50	B(NC)(NC)NC
CDK_Depict_2_51	CCOOP(=O)(OOCC)OCl
CDK_Depict_2_52	CC(C)(C)OC(=O)NC[C@H](CCCO)NC(=O)OC(C)(C)C
CDK_Depict_2_53	COC1OC(OO1)OC
CDK_Depict_2_54	B(C(C(F)(F)Br)(F)Br)(C(F)(F)F)C(F)(F)F
CDK_Depict_2_55	C=P(Cl)(Cl)Cl
CDK_Depict_2_56	C1[C@@H](S[C@@H](CC1N)C2=CC=CC=C2)C3=CC=CC=C3
CDK_Depict_2_57	CCCC(S(=O)Cl)S(=O)Cl
CDK_Depict_2_58	CI(CN=O)S
CDK_Depict_2_59	C(=O)(O)[As]S(=O)(=O)O
CDK_Depict_2_60	C1CCC(CC1)([C@H](C2=CC=CC=C2)N)O
CDK_Depict_2_61	CC12CCC3C(C1CC[C@@H]2O)CCC4C3(C[C@](C4)(C#C)O)C
CDK_Depict_2_62	CC1=NSN=C1CC(=O)O
CDK_Depict_2_63	C[Si]1([Se][Si]([Se]1)(C)C)C
CDK_Depict_2_64	C[C@H]1[C@@H]([C@H]([C@H](C(O1)O)O)O)O
CDK_Depict_2_65	CCC[C@]1(C(=N[C@H]([C@H](O1)C2=CC=CC=C2)C)C)O
CDK_Depict_2_66	[B][B]B([B])I(B([B])[B])I
CDK_Depict_2_67	CN(C)C1=NN=CO1
CDK_Depict_2_68	B(C1=CCCCC1)(O)O
CDK_Depict_2_69	CCC(N=C=O)(N=C=O)OC(CC)(N=C=O)N=C=O
CDK_Depict_2_70	C(=O)(N)NC(=O)N(Cl)Cl
CDK_Depict_2_71	CSN=C1SC2=C(S1)CCCC2
CDK_Depict_2_72	C(#N)C(=NF)C(C#N)(F)F
CDK_Depict_2_73	C1=C2C(=CC(=C1Cl)Cl)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O
CDK_Depict_2_74	CC[C@@]1(CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@H]34)C)O
CDK_Depict_2_75	C[C@@H]1CCO[C@@]2(O1)[C@@H]([C@@H](CC([C@H]2Br)(C)C)C)Br
CDK_Depict_2_76	C/C=C/[C@H]1SCC[S@@]1=O
CDK_Depict_2_77	C1=C(NC=N1)SCC(=O)N
CDK_Depict_2_78	CC(C)[C@H]1CC[C@@]2(C([C@H]1C=C2CO)CO)C
CDK_Depict_2_79	C1CC(=C[C@@H]1CC#N)OS(=O)(=O)C(F)(F)F
CDK_Depict_2_80	C(=O)(C(F)(F)F)OI(C(F)(F)F)OC(=O)C(F)(F)F
CDK_Depict_2_81	C1=CC=C(C=C1)N2[C@@H]3[C@H]2C4C5C3C45
CDK_Depict_2_82	C1(=NSS(=C1Cl)Cl)Cl
CDK_Depict_2_83	C1=CN=NN=C1N2NN2
CDK_Depict_2_84	C1(=NN=C(S1)I)F
CDK_Depict_2_85	C1=CP2N=CC1C=N2
CDK_Depict_2_86	C1=C(C(=C(S1)S(=O)(=O)Cl)Br)Br
CDK_Depict_2_87	[B]=BB=S(#B)CC
CDK_Depict_2_88	C[C@@H]([C@H]1[C@@H]2[C@H]([C@H](C(=O)O1)O)OC(O2)(C)C)O
CDK_Depict_2_89	CC#CC=NC#CC
CDK_Depict_2_90	P12P3P1SP2S3
CDK_Depict_2_91	C(C[Hg]OCl(=O)(=O)=O)OCl(=O)(=O)=O
CDK_Depict_2_92	CC[C@H]1C[C@H](C1(C)C)C(=O)C
CDK_Depict_2_93	C(P(=O)(CSC(=N)N)O)SC(=N)N
CDK_Depict_2_94	C[C@@H]1CCC[C@@H]1C
CDK_Depict_2_95	C(#N)C(C#N)C(C#N)C#N
CDK_Depict_2_96	CCOP(=O)([Te]CC)[Te]CC
CDK_Depict_2_97	CC(C)OP(=O)(C)C1=CC=NC=C1
CDK_Depict_2_98	CP(C)(C)([Te]C)I
CDK_Depict_2_99	N1=P(N=P(N=P(N=P1(O)O)(O)O)(O)O)(O)O
CDK_Depict_2_100	C/C=C/CCOC1NC(=O)NC1OCC/C=C/C
CDK_Depict_3_1	[3H]CC([3H])(C)C(C)(C)NC(C)C
CDK_Depict_3_3	C1CS(=O)(=O)CC1NC(=S)NN
CDK_Depict_3_4	COC1=C(C2=C3[C@@H](CC4=CC=CC=C42)NCCC3=C1)O
CDK_Depict_3_5	CC(C)N(C(C)C)P(=NC(C)(C)C)=NC(C)(C)C
CDK_Depict_3_6	C1CCN(CC1)C(=O)[C@]2([C@@H](CCN2)C#N)C3=CC=CC=C3
CDK_Depict_3_7	CC[C@@]1(CC[C@@H]2C1(CC[C@H]3C2CC=C4C3CCCC4)C)O
CDK_Depict_3_8	[2H]C1=COC=COC=COC=COC(=COC=CO1)[2H]
CDK_Depict_3_9	C[C@@H]1[C@@]2([C@]1(C3=CC=CC4=C3C(=CC=C4)C2=C)C)C
CDK_Depict_3_10	B1(C(OB(C(O1)CC)CC)CC)CC
CDK_Depict_3_11	C[C@@H]1CC[C@@H](C1)C
CDK_Depict_3_12	C1=CNC(=O)NC(=C1)Cl
CDK_Depict_3_13	CCCCCCCCCCCCC[C@H]([C@H](C)NC(=O)C)OC(=O)C
CDK_Depict_3_14	CO/C=C(/C(OC)OC)\Br
CDK_Depict_3_15	CN(C)C=S(=O)(N)O
CDK_Depict_3_16	CC(=O)C=C1SC(=CC(=O)C)S1
CDK_Depict_3_17	B(CC1(CC1)B(Cl)Cl)(Cl)Cl
CDK_Depict_3_18	C(CC(=O)N)[C@@H](C(=O)O)N
CDK_Depict_3_19	O1OP2OOP1O2
CDK_Depict_3_20	C1=C(C(=NC(=O)N1[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O)N)F
CDK_Depict_3_21	CCCCC(=O)P(=O)(N)SCC
CDK_Depict_3_22	[2H]C(=C1CCC(CC1)C)OS(=O)(=O)C
CDK_Depict_3_23	C/C(=N\NC(=S)N)/C1=NN=CC=C1
CDK_Depict_3_24	CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)CO)F
CDK_Depict_3_25	C(=O)(O)[Sn](C(=O)O)(C(=O)O)C(=O)O
CDK_Depict_3_26	CC(C)N(C1=C(C1=S)N(C(C)C)C(C)C)C(C)C
CDK_Depict_3_27	C=CC[Sn]O[Sn](CC=C)(F)F
CDK_Depict_3_28	C1C=CSN=CC1=O
CDK_Depict_3_29	C1C(=O)NOC1(C(Cl)(Cl)Cl)O
CDK_Depict_3_30	B(=S)[Se]F
CDK_Depict_3_31	C[C@]1([C@H]2C=CCC[C@H]2C1=O)OC
CDK_Depict_3_32	C1=CS(=CS1)I
CDK_Depict_3_33	P(P(I)I)(I)I
CDK_Depict_3_34	CCOI=CI=NI=IC
CDK_Depict_3_35	COC(=O)C1=NNC(=N1)CBr
CDK_Depict_3_36	CC[C@@H]1[C@@H]2CCO[C@@]2(C1=O)C
CDK_Depict_3_38	C(C(=O)P(PP)P(P)P)(O)P(P)P(P)P
CDK_Depict_3_39	CC[C@H]1[C@@H]2CC[C@@H](C2)[C@@H]1[C@@H](CO)O
CDK_Depict_3_40	C[C@H]([C@@H](C=C)OO)C(=O)OC
CDK_Depict_3_41	CN1C=C(NC=C1Cl)Cl
CDK_Depict_3_42	C123SS1(=N)(S2)S3
CDK_Depict_3_43	C(=C=C(F)F)=C(F)F
CDK_Depict_3_44	C1=NO[Si](=C1)O
CDK_Depict_3_45	N(=P(F)(F)Br)P(=S)(F)Cl
CDK_Depict_3_46	CCCCC[C@@H]1[C@H](OC(O1)(C)C)/C=C/C=O
CDK_Depict_3_47	C1=CNC=C1SC#N
CDK_Depict_3_48	[CH2+]CN=S(=N)(O)[O]
CDK_Depict_3_49	CCS[P+](C)(N(C)C)[O-]
CDK_Depict_3_50	CC1(/C(=C\I)/SC(=C)CO1)C
CDK_Depict_3_51	CCCCNSN(CCCC)N(CCCC)SNCCCC
CDK_Depict_3_52	C[C@]12[C@H](COC1=O)[C@H]3CC[C@@]2(O3)CI
CDK_Depict_3_53	C(C(=O)O)N=C(NNC(=O)N)NNC(=O)N
CDK_Depict_3_54	C[C@@]1(C[C@@H]2[C@H](N=C(N[C@]23[C@@H](C(=O)O[C@H]1C3O)O)N)O)O
CDK_Depict_3_55	C1(C(S1)(SC(Cl)(Cl)Cl)Cl)(SC(Cl)(Cl)Cl)Cl
CDK_Depict_3_56	C1=C(C(=S)NC(=S)N1N)Br
CDK_Depict_3_58	C1=C(C=[In]O1)O
CDK_Depict_3_59	[2H]C1(CN(CCO1)N=O)O
CDK_Depict_3_60	C(=C=C=O)=C=C=O
CDK_Depict_3_61	C=C(C(=C)C(=C)N)C(=C)N
CDK_Depict_3_62	C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2N)CC=C4[C@@]3(CC[C@@H](C4)NC)C
CDK_Depict_3_63	CCOP(=O)(C#N)ON(C)C
CDK_Depict_3_64	C(=O)(O)P(=O)=O
CDK_Depict_3_65	CNN1C=NC(=O)NC1=O
CDK_Depict_3_66	C1=CC=C(C=C1)CN2[C@@H]3[C@H]2C4C5C3C45
CDK_Depict_3_67	C=C[Tl](C=C)Br
CDK_Depict_3_68	CCN(CC)P(CC)P(CC)N(CC)CC
CDK_Depict_3_69	CCOC(=O)[C@H](C=NCCN(C(C)C)C(C)C)C#N
CDK_Depict_3_70	B(C(=C=C(B(F)F)B(F)F)B(F)F)(F)F
CDK_Depict_3_71	B(C(=C(B(F)F)B(F)F)B(F)F)(F)F
CDK_Depict_3_72	COC(=O)[C@H](CS)N
CDK_Depict_3_73	C1(=N)N(C(=N)N(C(=N)N1O)O)O
CDK_Depict_3_74	CCC1C=NC=CN1
CDK_Depict_3_75	S(=[V]I)(I)I=[Se]
CDK_Depict_3_76	C([C@@H]1[C@@H]([C@@H]([C@H](C(O1)O)N)O)O)O
CDK_Depict_3_77	C(=C(C(=O)O)OP(=O)(O)O)C(=O)O
CDK_Depict_3_78	O=[Mo](=[Mn])=[Co]
CDK_Depict_3_79	C1CSCC(CS1)NS(=O)(=O)O
CDK_Depict_3_80	CS(=O)(=O)OC[C@H]([C@@H](COS(=O)(=O)C)N)N
CDK_Depict_3_81	C[C@@H]1C(=O)O[C@@]([C@]1(C)O)(C)C(=O)O
CDK_Depict_3_82	C1[C@@H]2C=C[C@H]1[C@@H]3[C@H]2[C@H]4CO[C@@H](C3=O)O4
CDK_Depict_3_83	C[C@@H]1CC[C@H]([C@@H](C1)O)C(C)C
CDK_Depict_3_84	CC(C)(C)P(C(C)(C)C)P=C(SC)SC
CDK_Depict_3_85	P1PPP1
CDK_Depict_3_86	C[C@@H](C(C1=CC=CC=C1)O)NC
CDK_Depict_3_87	CCCCCCCC(=O)OC[C@@H]1C[C@@H]([C@@H]2[C@H]1OC(O2)(C)C)CO
CDK_Depict_3_88	CCC[C@@H]([C@@H](CN[C@@H](C)C(=O)OC)N(CC=C)CC=C)O
CDK_Depict_3_89	C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@H]([C@@H]([C@H](O3)CO)O)O)N
CDK_Depict_3_90	CCSSC(CN=C=S)N=C=O
CDK_Depict_3_91	C1CC(CCC1N2N(O2)C3CCC(CC3)Cl)Cl
CDK_Depict_3_92	C(OOS(OC(F)(F)F)(F)(F)(F)F)(F)(F)F
CDK_Depict_3_93	CC(C)(C)[Ge](=[Ge](C(C)(C)C)C(C)(C)C)C(C)(C)C
CDK_Depict_3_94	C1C23C14N2N34
CDK_Depict_3_95	C(=C(/N/C(=N/P(=O)(Cl)Cl)/Cl)\Cl)\P(=O)(Cl)Cl
CDK_Depict_3_96	C([C@@H]1[C@H]([C@@H](C(=O)O1)O)O)O
CDK_Depict_3_97	C(=O)(N(Cl)Cl)OC(Cl)(Cl)Cl
CDK_Depict_3_98	[2H]N([2H])C(CO[2H])(CO[2H])CO[2H]
CDK_Depict_3_99	CN(N)P(=S)(Cl)Cl
CDK_Depict_3_102	C(=[As](=C\Cl)\Cl)\Cl
CDK_Depict_3_103	C(/C(=C/Br)/Br)Br
CDK_Depict_3_106	CC12CC3C(C(=C)C1CCC([C@H]2O)O)C(=C)C(=O)O3
CDK_Depict_3_107	B(=O)OB1OB(OB(O1)OB=O)O
CDK_Depict_3_108	CC[C@@H]1CCC[C@H]1C
CDK_Depict_3_109	C1C(=O)N=[S-](=O)[Se]1
CDK_Depict_3_110	CCN(CC)C(=S)SS(=O)(=O)N(C)C
CDK_Depict_3_111	CN1C=NC2=C(C1=N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O
CDK_Depict_3_112	CS([N-]S(C(F)(F)F)(O)O)(O)O
CDK_Depict_3_113	C(CNC(=S)S)NC(S)S
CDK_Depict_3_115	CC12CCC3C(C1CC[C@@H]2O)CCC4=C3C=CC(=C4)OC
CDK_Depict_3_117	C1=NP(N=C1)P2C=PPP2
CDK_Depict_3_118	C(N(C(F)F)S(=O)(=O)F)(F)F
CDK_Depict_3_119	[N-]=[N+]=N[In]1N=[N+]=N1
CDK_Depict_3_120	C(=O)(NSNP=S)O
CDK_Depict_3_121	C1CCC2(C1)[C@H]3CC=CC[C@H]3CO2
CDK_Depict_3_122	CP(P(=S)(C)C)SC
CDK_Depict_3_123	CO/N=C\1/SS/C(=N/OC)/S1
CDK_Depict_3_124	C1=CC=C(C=C1)C#C[C@H](CF)O
CDK_Depict_3_125	C(P(=O)(CBr)CBr)Br
CDK_Depict_3_126	C(=NN=CN=O)NO
CDK_Depict_3_127	C(C[C@@H](C(=O)O)N)CN
CDK_Depict_3_128	C[C@@](CC1=CC=C(C=C1)O)(C(=O)O)N
CDK_Depict_3_130	CCP(=O)(CCC(=O)Cl)Cl
CDK_Depict_3_131	B(C#N)(C(Cl)Cl)C(Cl)Cl
CDK_Depict_3_132	CC1(C2(P1C)CP2C)C
CDK_Depict_3_134	C1=NN=C2C1=NN=NC2=O
CDK_Depict_3_135	C1C=C[C@@H]2[C@H]1C(=O)NC(=O)N2
CDK_Depict_3_136	CN(C)C(F)SN(C)F
CDK_Depict_3_137	[B-](C)([Si](C)(C)C)([Si](C)(C)C)[Si](C)(C)C
CDK_Depict_3_138	CC(=O)O[C@H]1C[C@H]2[C@@H](CC/C=C\CC[C@@H]([C@H]1O2)O)I
CDK_Depict_3_139	CNC(COCCO)C=O
CDK_Depict_3_140	C([C@H]([C@@H](C(=O)C(=O)C(=O)O)O)O)O
CDK_Depict_3_141	C(/C(=N/O)/N)C(=O)NN
CDK_Depict_3_142	CN(C)C=C(C#N)C(=S)N=CN(C)C
CDK_Depict_3_143	CC(C)(C#N)O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O
CDK_Depict_3_144	C1CC(CCC1Br)Br
CDK_Depict_3_145	C12C(NSN1)NSN2
CDK_Depict_3_147	C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CC[C@@H]4[C@@]3(CC(=CC4)C=O)C
CDK_Depict_3_148	C(C(=NO)/C(=C/Br)/NO)Br
CDK_Depict_3_149	CCCCC[C@@H](C=C[C@H]1[C@@H](CC(=O)[C@@H]1CC=CCCCC(=O)O)O)O
CDK_Depict_3_150	CCCCC/C=C\C[C@H]([C@H]1COC(O1)(C)C)OC(=O)C
CDK_Depict_3_152	CC1=CC=C(S1)/C(=C(/C2=CC=C(S2)C)\F)/F
CDK_Depict_4_3	C[C@@H]([C@](C(C)C)(C(=O)OCC1=CCN2[C@@H]1CCC2)O)O
CDK_Depict_4_4	C(C(C(=O)O)(C(=O)O)C(=O)O)P
CDK_Depict_4_5	B1BBC2BBBBC2BB1
CDK_Depict_4_6	C[C@@H]1CC[C@H](C[C@H]1O)C(C)(C)OC
CDK_Depict_4_7	C(=O)([O-])[I-](O)(Cl)Br
CDK_Depict_4_8	CCCCCCCCCCCCCCC[C@H](C[C@H](CO)O)O
CDK_Depict_4_9	CC(C(=NOC(=O)NC)C)S(=O)C
CDK_Depict_4_10	C1=CC(=CC=C1C[C@@H](C(=O)O)N)OP(=O)(O)O
CDK_Depict_4_11	C[C@H]1[C@H]([C@H]([C@H]([C@H](O1)OC)O)O)O
CDK_Depict_4_12	C=CCN1C(=CC(=C1Br)Br)Br
CDK_Depict_4_13	C[C@@H]1[C@@H]([C@@H]2[C@H]1[C@H]3CCCN3O2)C
CDK_Depict_4_14	C([C@@H]([C@H]([C@@H](C(=O)CO)O)O)O)O
CDK_Depict_4_15	C1=CC(NC=C1)S(=O)(=O)O
CDK_Depict_4_16	CCCCCCCCCCCCCC=C[C@H]([C@H](CO)N)O
CDK_Depict_4_17	C1CCN[C@H](C1)[C@H](C2=CC(=C(C=C2)O)O)O
CDK_Depict_4_18	CC(N=C=O)N(C(C)N=C=O)C(C)N=C=O
CDK_Depict_4_19	B1(NB(NB(N1)CCC)CCC)CCC
CDK_Depict_4_20	CC(=O)O[C@@H]([C@H]1CCC(=O)O1)C2=CC=CC=C2
CDK_Depict_4_21	CC(C=C)(C#CBr)O
CDK_Depict_4_22	C(=NBr)(C(=NBr)F)F
CDK_Depict_4_23	CC(C)(C)NC[C@@H](COC1=CC=CC=C1C2CCCC2)O
CDK_Depict_4_24	CCOC(=O)C(S(=O)(=O)Cl)Cl
CDK_Depict_4_25	CN(C)[C@H]1CCCC2=C(C=CC(=C12)Cl)OC
CDK_Depict_4_26	B(=O)/C=N/C(=C)NB(C)O
CDK_Depict_4_27	C[C@]12CC[C@@H]3[C@H]1[C@H](C[C@@H]3C2)O
